ocupacion,nombre,apellido,fecha_nacimiento,correo,dni,id,telefono,fecha_creacion,imagen,tipo
"Profesor","PersonalNombre asd asdasd","PersonalApellido1 asdads","1985-01-01T03:00:00.000Z","personal1@gmail.com","40000001","29","1133328314","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre2","PersonalApellido2","1985-01-01T03:00:00.000Z","personal2@gmail.com","40000002","30","1157829733","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre3","PersonalApellido3","1985-01-01T03:00:00.000Z","personal3@gmail.com","40000003","31","1164839343","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre4","PersonalApellido4","1985-01-01T03:00:00.000Z","personal4@gmail.com","40000004","32","1141595459","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre5","PersonalApellido5","1985-01-01T03:00:00.000Z","personal5@gmail.com","40000005","33","1186473427","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre6","PersonalApellido6","1985-01-01T03:00:00.000Z","personal6@gmail.com","40000006","34","1185964100","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre7","PersonalApellido7","1985-01-01T03:00:00.000Z","personal7@gmail.com","40000007","35","1130707332","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre8","PersonalApellido8","1985-01-01T03:00:00.000Z","personal8@gmail.com","40000008","36","1165067666","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre9","PersonalApellido9","1985-01-01T03:00:00.000Z","personal9@gmail.com","40000009","37","1199835198","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre10","PersonalApellido10","1985-01-01T03:00:00.000Z","personal10@gmail.com","40000010","38","1117456320","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre11","PersonalApellido11","1985-01-01T03:00:00.000Z","personal11@gmail.com","40000011","39","1144237213","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre12","PersonalApellido12","1985-01-01T03:00:00.000Z","personal12@gmail.com","40000012","40","1143998040","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre13","PersonalApellido13","1985-01-01T03:00:00.000Z","personal13@gmail.com","40000013","41","1139526564","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre14","PersonalApellido14","1985-01-01T03:00:00.000Z","personal14@gmail.com","40000014","42","1126627325","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre15","PersonalApellido15","1985-01-01T03:00:00.000Z","personal15@gmail.com","40000015","43","1183107755","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre16","PersonalApellido16","1985-01-01T03:00:00.000Z","personal16@gmail.com","40000016","44","1120431936","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre17","PersonalApellido17","1985-01-01T03:00:00.000Z","personal17@gmail.com","40000017","45","1192642788","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre18","PersonalApellido18","1985-01-01T03:00:00.000Z","personal18@gmail.com","40000018","46","1190877089","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre19","PersonalApellido19","1985-01-01T03:00:00.000Z","personal19@gmail.com","40000019","47","1128016400","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre20","PersonalApellido20","1985-01-01T03:00:00.000Z","personal20@gmail.com","40000020","48","1187335736","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre21","PersonalApellido21","1985-01-01T03:00:00.000Z","personal21@gmail.com","40000021","49","1180233966","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre22","PersonalApellido22","1985-01-01T03:00:00.000Z","personal22@gmail.com","40000022","50","1195502288","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre23","PersonalApellido23","1985-01-01T03:00:00.000Z","personal23@gmail.com","40000023","51","1142713158","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre24","PersonalApellido24","1985-01-01T03:00:00.000Z","personal24@gmail.com","40000024","52","1177779694","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre25","PersonalApellido25","1985-01-01T03:00:00.000Z","personal25@gmail.com","40000025","53","1114517350","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre26","PersonalApellido26","1985-01-01T03:00:00.000Z","personal26@gmail.com","40000026","54","1189108216","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre27","PersonalApellido27","1985-01-01T03:00:00.000Z","personal27@gmail.com","40000027","55","1132891384","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre28","PersonalApellido28","1985-01-01T03:00:00.000Z","personal28@gmail.com","40000028","56","1159394415","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre29","PersonalApellido29","1985-01-01T03:00:00.000Z","personal29@gmail.com","40000029","57","1111543287","2025-07-06T12:36:17.000Z","","personal"
"Profesor","PersonalNombre30","PersonalApellido30","1985-01-01T03:00:00.000Z","personal30@gmail.com","40000030","58","1193010682","2025-07-06T12:36:17.000Z","","personal"
"Secretario","PersonalNombre31","PersonalApellido31","1985-01-01T03:00:00.000Z","personal31@gmail.com","40000031","59","1176797082","2025-07-06T12:36:17.000Z","","personal"
"Secretario","PersonalNombre32","PersonalApellido32","1985-01-01T03:00:00.000Z","personal32@gmail.com","40000032","60","1144459896","2025-07-06T12:36:17.000Z","","personal"
"Secretario","PersonalNombre33","PersonalApellido33","1985-01-01T03:00:00.000Z","personal33@gmail.com","40000033","61","1197594961","2025-07-06T12:36:17.000Z","","personal"
"Secretario","PersonalNombre34","PersonalApellido34","1985-01-01T03:00:00.000Z","personal34@gmail.com","40000034","62","1157497127","2025-07-06T12:36:17.000Z","","personal"
"Secretario","PersonalNombre35","PersonalApellido35","1985-01-01T03:00:00.000Z","personal35@gmail.com","40000035","63","1174921429","2025-07-06T12:36:17.000Z","","personal"
"Director","PersonalNombre36","PersonalApellido36","1985-01-01T03:00:00.000Z","personal36@gmail.com","40000036","64","1174661767","2025-07-06T12:36:17.000Z","","personal"
"Vicedirector","PersonalNombre37","PersonalApellido37","1985-01-01T03:00:00.000Z","personal37@gmail.com","40000037","65","1110935769","2025-07-06T12:36:17.000Z","","personal"
"Preceptor","PersonalNombre38","PersonalApellido38","1985-01-01T03:00:00.000Z","personal38@gmail.com","40000038","66","1195572662","2025-07-06T12:36:17.000Z","","personal"
"Bibliotecario","PersonalNombre39","PersonalApellido39","1985-01-01T03:00:00.000Z","personal39@gmail.com","40000039","67","1149789106","2025-07-06T12:36:17.000Z","","personal"
"Bedel","PersonalNombre40","PersonalApellido40","1985-01-01T03:00:00.000Z","personal40@gmail.com","40000040","68","1129736774","2025-07-06T12:36:17.000Z","","personal"
"Director","PersonalNombre41","PersonalApellido41","1985-01-01T03:00:00.000Z","personal41@gmail.com","40000041","69","1189438691","2025-07-06T12:36:17.000Z","","personal"
"Vicedirector","PersonalNombre42","PersonalApellido42","1985-01-01T03:00:00.000Z","personal42@gmail.com","40000042","70","1156806085","2025-07-06T12:36:17.000Z","","personal"
"Preceptor","PersonalNombre43","PersonalApellido43","1985-01-01T03:00:00.000Z","personal43@gmail.com","40000043","71","1144912147","2025-07-06T12:36:17.000Z","","personal"
"Bibliotecario","PersonalNombre44","PersonalApellido44","1985-01-01T03:00:00.000Z","personal44@gmail.com","40000044","72","1181643929","2025-07-06T12:36:17.000Z","","personal"
"Bedel","PersonalNombre45","PersonalApellido45","1985-01-01T03:00:00.000Z","personal45@gmail.com","40000045","73","1144013422","2025-07-06T12:36:17.000Z","","personal"
"Director","PersonalNombre46","PersonalApellido46","1985-01-01T03:00:00.000Z","personal46@gmail.com","40000046","74","1177426100","2025-07-06T12:36:17.000Z","","personal"
"Vicedirector","PersonalNombre47","PersonalApellido47","1985-01-01T03:00:00.000Z","personal47@gmail.com","40000047","75","1174156652","2025-07-06T12:36:17.000Z","","personal"
"Preceptor","PersonalNombre48","PersonalApellido48","1985-01-01T03:00:00.000Z","personal48@gmail.com","40000048","76","1185637649","2025-07-06T12:36:17.000Z","","personal"
"Bibliotecario","PersonalNombre49","PersonalApellido49","1985-01-01T03:00:00.000Z","personal49@gmail.com","40000049","77","1163116417","2025-07-06T12:36:17.000Z","","personal"
"Bedel","PersonalNombre50","PersonalApellido50","1985-01-01T03:00:00.000Z","personal50@gmail.com","40000050","78","1113430644","2025-07-06T12:36:17.000Z","","personal"
"Empleado","Nombre5","Apellido5","1995-01-01T03:00:00.000Z","usuario5@gmail.com","30000005","26","1166895972","2025-07-06T12:32:14.000Z","","alumno"
"Empleado","Nombre7","Apellido7","1995-01-01T03:00:00.000Z","usuario7@gmail.com","30000007","28","1166241611","2025-07-06T12:32:14.000Z","","alumno"
"Estudiante","Nombre8","Apellido8","1995-01-01T03:00:00.000Z","usuario8@gmail.com","30000008","29","1117595657","2025-07-06T12:32:14.000Z","","alumno"
"Empleado","Nombre9","Apellido9","1995-01-01T03:00:00.000Z","usuario9@gmail.com","30000009","30","1113967561","2025-07-06T12:32:14.000Z","","alumno"
"Estudiante","Nombre10","Apellido10","1995-01-01T03:00:00.000Z","usuario10@gmail.com","30000010","31","1133694080","2025-07-06T12:32:14.000Z","","alumno"
"Empleado","Nombre11","Apellido11","1995-01-01T03:00:00.000Z","usuario11@gmail.com","30000011","32","1131882034","2025-07-06T12:32:14.000Z","","alumno"
"Estudiante","Nombre12","Apellido12","1995-01-01T03:00:00.000Z","usuario12@gmail.com","30000012","33","1186541175","2025-07-06T12:32:14.000Z","","alumno"
"Empleado","Nombre13","Apellido13","1995-01-01T03:00:00.000Z","usuario13@gmail.com","30000013","34","1111170193","2025-07-06T12:32:14.000Z","","alumno"
"Estudiante","Nombre14","Apellido14","1995-01-01T03:00:00.000Z","usuario14@gmail.com","30000014","35","1168794767","2025-07-06T12:32:14.000Z","","alumno"
"Empleado","Nombre15","Apellido15","1995-01-01T03:00:00.000Z","usuario15@gmail.com","30000015","36","1130885349","2025-07-06T12:32:14.000Z","","alumno"
"Estudiante","Nombre16","Apellido16","1995-01-01T03:00:00.000Z","usuario16@gmail.com","30000016","37","1124606073","2025-07-06T12:32:14.000Z","","alumno"
"Empleado","Nombre17","Apellido17","1995-01-01T03:00:00.000Z","usuario17@gmail.com","30000017","38","1119515877","2025-07-06T12:32:14.000Z","","alumno"
